ID,Time,Timesince,ROS Time,Behave Val,Random No,State
6,67.22,0,14:58: 16,50,8,1
5,92.97,25.75,14:58: 16,55,75,2
1,148.72,55.75,14:58: 42,50,59,2
8,149.35,0.63,14:58: 42,45,47,2
4,149.85,0.5,14:59: 38,50,47,2
9,150.48,0.63,14:59: 38,55,47,2
8,150.53,0.05,14:59: 38,60,47,2
12,150.6,0.07,14:59: 38,65,47,2
4,150.72,0.12,14:59: 39,70,47,2
0,172.72,22.0,14:59: 39,75,100,2
3,173.85,1.13,14:59: 40,75,100,1
14,185.72,11.87,14:59: 40,80,39,1
12,194.22,8.5,14:59: 40,75,61,1
3,194.27,0.05,14:59: 40,70,61,1
17,194.84,0.57,14:59: 40,75,61,1
15,208.59,13.75,14:59: 40,80,56,1
10,251.72,43.13,14:59: 40,75,51,1
4,252.72,1.0,14:59: 40,70,51,1
