ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
5,17.82,0,23:08: 35,45,0,1
4,17.95,0.13,23:08: 35,50,0,1
6,65.96,48.01,23:08: 35,35,93,0
8,80.71,14.75,23:08: 35,25,94,0
9,82.21,1.5,23:09: 23,25,68,0
12,103.95,21.74,23:09: 23,20,29,0
7,104.33,0.38,23:09: 38,20,29,0
12,104.7,0.37,23:09: 38,25,1,1
0,105.33,0.63,23:09: 40,30,1,0
6,106.33,1.0,23:09: 40,30,63,0
14,117.83,11.5,23:10: 01,30,58,0
15,140.57,22.74,23:10: 01,20,78,0
15,142.2,1.63,23:10: 02,20,43,0
10,182.45,40.25,23:10: 02,5,75,0
16,202.82,20.37,23:10: 02,0,32,0
1,205.95,3.13,23:10: 02,0,98,0
8,207.83,1.88,23:10: 03,5,61,0
4,269.82,61.99,23:10: 04,0,98,0
5,270.08,0.26,23:10: 04,0,98,0
4,270.2,0.12,23:10: 15,5,98,0
16,288.83,18.63,23:10: 15,5,100,0
6,328.46,39.63,23:10: 38,0,55,0
8,329.46,1.0,23:10: 38,0,2,0
7,351.45,21.99,23:10: 40,0,26,0
9,351.58,0.13,23:10: 40,0,26,0
12,352.08,0.5,23:11: 20,5,27,0
7,352.13,0.05,23:11: 20,10,27,0
0,352.7,0.57,23:11: 40,15,27,0
15,374.83,22.13,23:11: 40,5,99,0
17,375.95,1.12,23:11: 43,5,42,0
7,375.99,0.04,23:11: 43,10,42,0
17,376.08,0.09,23:11: 45,15,42,1
12,376.12,0.04,23:11: 45,20,42,0
0,376.45,0.33,23:12: 47,25,42,0
15,393.07,16.62,23:12: 47,20,9,0
10,437.95,44.88,23:12: 47,0,31,0
